source_id,source_name,base_url,tier,source_type,default_confidence,freshness_sla_days,verification_priority,notes
SRC-ECI-01,Election Commission of India,https://eci.gov.in,A,official_institutional_portal,high,180,high,"Use for election notifications and constituency-level official references"
SRC-ECI-02,ECI Candidate Affidavits,https://affidavit.eci.gov.in,A,statutory_disclosure,high,365,high,"Use for candidate disclosures; stable across election cycle"
SRC-ECI-03,ECI Results Portal,https://results.eci.gov.in,A,official_results,high,365,high,"Use for official election outcomes"
SRC-LS-01,Lok Sabha (Sansad),https://sansad.in/ls,A,legislative_records,high,30,high,"Questions, debates, attendance references"
SRC-RS-01,Rajya Sabha (Sansad),https://sansad.in/rs,A,legislative_records,high,30,high,"Questions, debates, member activity"
SRC-BUD-01,Union Budget Portal,https://www.indiabudget.gov.in,A,budget_allocation,high,365,high,"Allocation and expenditure references at Union level"
SRC-OGD-01,Open Government Data Platform,https://data.gov.in,A-B,open_dataset,medium-high,60,medium,"Dataset-specific quality; verify update date and metadata"
SRC-CAG-01,Comptroller and Auditor General,https://cag.gov.in,A,audit_reports,high,365,high,"Audit corroboration for implementation claims"
SRC-RTI-01,RTI Online,https://rtionline.gov.in,B,rti_response,medium-high,90,high,"Use when primary data missing; upload response copy"
SRC-PRESS-01,Press Information Bureau,https://pib.gov.in,B,official_announcement,medium,30,medium,"Announcement only; requires execution corroboration"
SRC-ECOURT-01,eCourts Services,https://ecourts.gov.in,A-B,judicial_records,medium-high,30,medium,"Use for legal compliance/progress context"
SRC-STATE-BUD,State Budget Portals,(state_domain),A,state_budget_docs,high,365,high,"State-wise registry to be expanded"
SRC-ULB-DASH,Municipal Dashboards,(city_domain),B,city_service_dashboard,medium-high,30,high,"Ward/city implementation tracking"
SRC-MEDIA-01,Credibility-scored Media,(publisher_domain),C,verified_media,medium,14,medium,"Secondary corroboration; never sole basis for Done"
SRC-FACT-01,Independent Fact-checkers,(factcheck_domain),C,fact_check,medium,14,medium,"Use for contradiction discovery and context"
SRC-CITIZEN-01,Citizen Evidence Upload,(platform_internal),D,citizen_submission,low,7,triage,"Lead-only input; must be verified before publication"
